,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
279,102,False,206,206,6
280,160,False,253,253,6
281,86,False,143,143,6
282,93,False,180,180,6
283,102,True,205,205,7
284,102,False,214,214,6
285,99,True,211,211,7
286,113,True,239,239,7
287,122,True,235,235,7
288,93,True,199,199,7
289,129,False,208,208,6
290,83,True,193,193,7
291,122,True,263,263,7
292,94,True,194,194,7
293,134,True,287,287,7
294,103,True,244,244,7
295,113,True,223,223,7
296,126,True,285,285,7
297,89,False,142,142,5
298,116,True,256,256,7
299,100,True,209,209,7
300,100,True,238,238,7
301,99,True,233,233,7
302,106,False,206,206,6
303,110,True,224,224,7
304,80,False,126,126,5
305,130,True,311,311,7
306,70,False,117,117,5
307,125,False,234,234,6
308,115,False,213,213,6
309,95,True,200,200,7
310,123,True,257,257,7
311,92,True,220,220,7
312,113,False,203,203,6
313,157,True,320,320,7
314,127,True,244,244,7
315,94,True,210,210,7
316,126,False,265,265,6
317,143,True,307,307,7
318,106,False,198,198,6
319,94,True,223,223,7
320,66,False,99,99,5
321,92,False,190,190,6
322,104,True,209,209,7
323,89,False,166,166,6
324,136,False,274,274,6
325,80,False,151,151,5
326,103,False,173,173,6
327,117,False,246,246,6
328,114,False,230,230,6
329,110,False,217,217,6
330,103,False,190,190,6
331,105,False,194,194,6
332,81,True,197,197,7
333,84,False,156,156,6
334,105,True,255,255,7
335,93,True,203,203,7
336,109,True,239,239,7
337,90,True,199,199,7
338,104,True,231,231,7
339,106,True,215,215,7
340,86,True,208,208,7
341,105,True,223,223,7
342,103,False,199,199,6
343,115,True,254,254,7
344,93,True,205,205,7
345,101,True,218,218,7
346,103,True,234,234,7
347,82,True,199,199,7
348,149,False,307,307,6
349,128,False,264,264,6
350,131,True,295,295,7
351,98,True,213,213,7
352,108,True,227,227,7
353,97,False,190,190,6
354,122,False,246,246,6
355,104,True,238,238,7
356,102,True,249,249,7
357,89,False,190,190,6
358,80,False,152,152,5
359,136,False,275,275,6
360,81,True,173,173,7
361,117,False,233,233,6
362,88,True,206,206,7
363,131,True,263,263,7
364,103,False,173,173,6
365,103,False,199,199,6
366,148,True,320,320,7
367,118,True,248,248,7
368,92,True,205,205,7
369,128,True,271,271,7
370,55,False,102,102,6
371,70,False,116,116,5
372,109,False,185,185,6
373,129,False,254,254,6
374,97,True,206,206,7
375,88,True,208,208,7
376,110,False,208,208,6
377,94,False,195,195,6
378,108,True,248,248,7
379,112,True,227,227,7
380,113,False,223,223,6
381,103,True,236,236,7
382,106,True,253,253,7
383,107,True,251,251,7
384,72,False,115,115,5
385,138,True,322,322,7
386,123,True,273,273,7
387,66,False,95,95,5
388,117,False,219,219,6
389,99,False,203,203,6
390,127,False,222,222,6
391,108,True,241,241,7
392,121,False,239,239,6
393,114,False,220,220,6
394,137,True,284,284,7
395,137,True,293,293,7
396,105,False,192,192,6
397,96,True,226,226,7
398,106,True,238,238,7
399,151,False,302,302,6
400,127,True,302,302,7
401,103,False,201,201,6
402,100,False,188,188,6
403,64,False,109,109,5
404,83,False,170,170,6
405,85,False,163,163,6
406,122,True,270,270,7
407,119,False,175,175,6
408,135,True,295,295,7
409,121,True,299,299,7
410,80,False,144,144,5
411,108,True,246,246,7
412,100,False,173,173,5
413,94,False,169,169,6
414,100,False,177,177,6
415,120,True,243,243,7
416,156,False,277,277,6
417,119,True,258,258,7
418,97,False,189,189,6
419,110,False,237,237,6
420,92,False,163,163,6
421,103,True,245,245,7
422,115,False,197,197,6
423,78,False,145,145,6
424,93,True,218,218,7
425,106,True,248,248,7
426,114,True,258,258,7
427,91,True,207,207,7
428,90,True,196,196,7
429,115,True,230,230,7
430,108,True,248,248,7
431,91,True,208,208,7
432,117,True,285,285,7
433,139,False,275,275,6
434,87,True,196,196,7
435,127,False,239,239,6
436,32,False,35,35,4
437,109,True,241,241,7
438,137,False,299,299,6
439,86,False,182,182,6
440,57,False,94,94,4
441,90,True,208,208,7
442,78,True,192,192,7
443,99,False,174,174,6
444,94,False,192,192,6
445,98,True,223,223,7
446,112,True,258,258,7
447,107,True,240,240,7
448,99,True,205,205,7
449,99,False,188,188,6
450,108,True,234,234,7
451,114,False,224,224,6
452,57,False,81,81,5
453,98,True,224,224,7
454,75,False,121,121,6
455,102,True,216,216,7
456,86,False,166,166,6
457,110,True,240,240,7
458,112,False,219,219,6
459,101,True,218,218,7
460,107,False,230,230,6
461,104,True,235,235,7
462,75,True,178,178,7
463,102,True,222,222,7
464,82,False,156,156,6
465,121,False,241,241,6
466,72,False,137,137,5
467,96,True,214,214,7
468,130,True,255,255,7
469,137,False,272,272,6
470,118,False,168,168,6
471,91,True,209,209,7
472,69,False,96,96,5
473,90,True,218,218,7
474,101,False,176,176,6
475,91,True,205,205,7
476,101,True,215,215,7
477,142,False,261,261,6
478,99,True,226,226,7
479,138,False,241,241,6
480,111,True,231,231,7
481,108,False,218,218,6
482,86,True,208,208,7
483,111,False,229,229,6
484,90,True,210,210,7
485,131,False,281,281,6
486,98,False,185,185,6
487,91,False,147,147,5
488,91,False,174,174,6
489,107,False,230,230,6
490,89,False,181,181,6
491,107,True,250,250,7
492,127,True,258,258,7
493,96,False,192,192,6
494,109,True,242,242,7
495,86,True,192,192,7
496,107,True,223,223,7
497,104,True,228,228,7
498,86,True,207,207,7
499,108,True,230,230,7
500,90,True,220,220,7
501,109,True,220,220,7
502,138,False,223,223,6
503,117,True,254,254,7
504,100,False,185,185,6
505,109,True,217,217,7
506,87,True,202,202,7
507,62,False,118,118,5
508,80,False,154,154,6
509,94,True,233,233,7
510,132,True,266,266,7
511,132,True,280,280,7
512,121,False,271,271,6
513,118,True,259,259,7
514,107,True,239,239,7
515,97,True,207,207,7
516,116,True,238,238,7
517,106,False,213,213,6
518,96,True,238,238,7
519,78,True,187,187,7
520,125,True,248,248,7
521,92,False,169,169,6
522,102,True,226,226,7
523,69,False,125,125,5
524,126,True,278,278,7
525,124,False,239,239,6
526,117,False,230,230,6
527,138,True,292,292,7
528,123,False,215,215,6
529,105,False,181,181,6
530,97,False,195,195,6
531,95,True,216,216,7
532,96,True,218,218,7
533,121,False,256,256,6
534,107,True,238,238,7
535,105,True,237,237,7
536,82,True,181,181,7
537,112,True,233,233,7
538,96,True,219,219,7
539,105,False,195,195,6
540,81,False,160,160,6
541,83,False,162,162,6
542,86,True,203,203,7
543,119,True,252,252,7
544,99,True,226,226,7
545,118,True,249,249,7
546,102,False,198,198,6
547,103,True,234,234,7
548,88,True,200,200,7
549,115,True,251,251,7
550,91,False,181,181,6
551,111,False,199,199,6
552,137,False,263,263,6
553,107,True,221,221,7
554,104,True,253,253,7
555,98,False,193,193,6
556,79,False,155,155,6
557,79,False,141,141,5
558,130,True,241,241,7
559,91,False,189,189,6
560,97,True,216,216,7
561,107,True,240,240,7
562,131,True,304,304,7
563,141,False,287,287,6
564,50,False,87,87,5
565,107,True,232,232,7
566,116,True,230,230,7
567,96,True,213,213,7
568,144,False,259,259,6
569,103,False,187,187,6
570,135,True,268,268,7
571,114,True,238,238,7
572,87,True,200,200,7
573,147,False,264,264,6
574,112,True,280,280,7
575,105,False,215,215,6
576,98,False,146,146,5
577,77,False,127,127,5
578,106,True,233,233,7
579,112,False,220,220,6
580,104,True,234,234,7
581,89,True,210,210,7
582,68,False,112,112,5
583,107,True,221,221,7
584,92,False,174,174,6
585,108,True,243,243,7
586,119,True,255,255,7
587,118,False,232,232,6
588,107,False,208,208,6
589,102,False,197,197,6
590,99,False,198,198,6
591,115,False,274,274,6
592,109,True,245,245,7
